                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92485,                  1.393,                0.94717,                0.81473,                0.76921,                0.84886,                0.66905,                0.74974,                0.55524,                0.86921,              0.0033126,              0.0033126,              0.0033126
                      2,                0.88032,                0.58833,                0.90363,                 0.8214,                0.74424,                0.84493,                0.65829,                0.77823,                0.72383,                0.88031,              0.0066272,              0.0066272,              0.0066272
                      3,                0.89681,                0.58016,                0.90742,                0.77731,                0.73719,                0.81952,                0.63082,                0.76764,                0.69637,                0.87791,              0.0099228,              0.0099228,              0.0099228
                      4,                0.86278,                0.55081,                0.89927,                0.85446,                0.84172,                0.88921,                0.71504,                0.72493,                0.56295,                0.86542,              0.0099151,              0.0099151,              0.0099151
                      5,                0.81399,                0.51347,                0.88879,                0.87936,                0.84107,                0.91336,                0.74228,                0.68167,                0.43829,                0.85151,              0.0099151,              0.0099151,              0.0099151
                      6,                0.79338,                0.49747,                0.88565,                0.88108,                0.84948,                0.91303,                0.74611,                0.68214,                0.45763,                0.85386,              0.0098869,              0.0098869,              0.0098869
                      7,                0.76732,                 0.4784,                0.88044,                0.89003,                0.83818,                0.91668,                0.74853,                0.66871,                 0.4407,                0.84961,              0.0098586,              0.0098586,              0.0098586
                      8,                0.75358,                 0.4667,                0.87615,                0.86558,                0.80702,                0.89745,                0.73245,                0.68368,                0.50305,                0.85803,              0.0098303,              0.0098303,              0.0098303
                      9,                0.74301,                0.45988,                0.87322,                0.88321,                 0.8626,                0.91457,                0.75701,                0.66536,                0.45965,                0.85514,               0.009802,               0.009802,               0.009802
                     10,                0.73818,                 0.4613,                0.87338,                0.89354,                0.85519,                0.92119,                0.75586,                0.67028,                0.42154,                0.85219,              0.0097737,              0.0097737,              0.0097737
                     11,                0.73117,                 0.4483,                0.87112,                0.87581,                0.83497,                0.90873,                0.74554,                0.67694,                0.46943,                0.85372,              0.0097454,              0.0097454,              0.0097454
                     12,                0.71831,                0.44551,                0.86668,                0.88743,                0.85517,                0.92499,                0.76365,                0.66316,                0.42036,                0.84665,              0.0097171,              0.0097171,              0.0097171
                     13,                0.71301,                0.43649,                0.86368,                0.89385,                0.86979,                0.93377,                0.77757,                0.63626,                0.39476,                0.84109,              0.0096889,              0.0096889,              0.0096889
                     14,                0.70853,                0.43412,                0.86337,                0.88641,                0.85197,                0.92188,                0.76238,                0.65368,                0.43649,                0.84737,              0.0096606,              0.0096606,              0.0096606
                     15,                0.70462,                0.43315,                 0.8655,                0.90117,                0.86297,                0.93305,                0.78035,                0.62925,                0.38916,                0.84125,              0.0096323,              0.0096323,              0.0096323
                     16,                0.70371,                0.43178,                0.86609,                0.89928,                0.86656,                0.93615,                0.78316,                0.62726,                0.38679,                0.84275,               0.009604,               0.009604,               0.009604
                     17,                0.69553,                0.42823,                0.86337,                0.90751,                0.86513,                0.93743,                0.78734,                0.62027,                0.38056,                 0.8389,              0.0095757,              0.0095757,              0.0095757
                     18,                0.69064,                0.41966,                0.86075,                0.88744,                0.87058,                0.93377,                0.78294,                0.62333,                0.39475,                0.83814,              0.0095474,              0.0095474,              0.0095474
                     19,                0.68775,                0.41703,                0.85907,                 0.9004,                0.87538,                0.93756,                0.78773,                0.62026,                0.38086,                0.83952,              0.0095191,              0.0095191,              0.0095191
                     20,                0.68814,                0.41862,                0.85889,                 0.8963,                  0.878,                0.93892,                0.78851,                0.61844,                0.37339,                0.83708,              0.0094909,              0.0094909,              0.0094909
                     21,                0.68621,                0.41703,                0.86064,                0.89577,                0.87865,                 0.9353,                0.78616,                0.62213,                0.39393,                0.84228,              0.0094626,              0.0094626,              0.0094626
                     22,                0.68036,                0.40957,                0.85757,                0.89785,                 0.8816,                0.93867,                0.78984,                0.61717,                0.37306,                 0.8362,              0.0094343,              0.0094343,              0.0094343
                     23,                0.67926,                0.41242,                0.85858,                0.90008,                0.87348,                0.93633,                0.78749,                0.62276,                 0.3895,                0.84034,               0.009406,               0.009406,               0.009406
                     24,                0.67374,                0.40729,                0.85703,                 0.9087,                 0.8752,                 0.9413,                0.79328,                0.61437,                0.36663,                0.83812,              0.0093777,              0.0093777,              0.0093777
                     25,                0.67641,                0.40472,                0.85707,                0.90447,                0.87386,                0.93907,                0.79145,                0.61707,                0.38127,                0.83944,              0.0093494,              0.0093494,              0.0093494
                     26,                0.67491,                0.40668,                0.85656,                0.89812,                0.87568,                0.93947,                0.79045,                0.61264,                0.37129,                 0.8361,              0.0093211,              0.0093211,              0.0093211
                     27,                0.67003,                0.40515,                0.85607,                0.90279,                0.87514,                0.93846,                0.79045,                0.61352,                 0.3718,                0.83557,              0.0092929,              0.0092929,              0.0092929
                     28,                0.66868,                0.39973,                0.85386,                 0.9008,                0.88235,                0.93934,                0.79164,                 0.6162,                0.38104,                0.83972,              0.0092646,              0.0092646,              0.0092646
                     29,                0.66423,                 0.3977,                0.85306,                0.90628,                0.88006,                0.93817,                0.79466,                0.60859,                0.36796,                 0.8351,              0.0092363,              0.0092363,              0.0092363
                     30,                0.66474,                0.40167,                0.85605,                0.91206,                0.86749,                0.93789,                0.79366,                 0.6083,                0.36415,                0.83477,               0.009208,               0.009208,               0.009208
                     31,                 0.6622,                0.39844,                0.85349,                0.91169,                0.87645,                0.94207,                 0.7975,                0.60376,                0.36507,                0.83315,              0.0091797,              0.0091797,              0.0091797
                     32,                0.65847,                0.39534,                0.85288,                0.90576,                0.87477,                0.93894,                0.79731,                0.60521,                0.36898,                0.83332,              0.0091514,              0.0091514,              0.0091514
                     33,                0.66204,                0.39725,                0.85404,                0.91216,                0.87831,                0.94104,                0.79989,                0.60289,                  0.359,                0.83285,              0.0091231,              0.0091231,              0.0091231
