                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0014,                0.92069,                0.94876,                0.81078,                0.74458,                0.82943,                0.64188,                0.76607,                0.60159,                0.86225,              0.0033289,              0.0033289,              0.0033289
                      2,                0.90648,                0.63398,                0.89463,                0.85509,                 0.7887,                0.87504,                0.68488,                0.73804,                0.52053,                0.85369,              0.0066293,              0.0066293,              0.0066293
                      3,                 0.9184,                0.62475,                0.89536,                0.84601,                0.79025,                0.87266,                0.67659,                0.76764,                0.59489,                0.86055,              0.0098966,              0.0098966,              0.0098966
                      4,                0.89182,                0.60613,                0.89209,                0.84534,                0.79542,                0.87641,                0.68795,                0.73658,                0.52144,                0.85479,              0.0098515,              0.0098515,              0.0098515
                      5,                0.84872,                0.56856,                0.88285,                0.84808,                0.79737,                0.87004,                0.69396,                0.71482,                0.53206,                0.85223,              0.0098515,              0.0098515,              0.0098515
                      6,                0.82702,                0.55026,                0.87847,                0.87543,                0.80056,                0.89098,                0.70936,                0.70253,                0.49732,                 0.8451,               0.009802,               0.009802,               0.009802
                      7,                0.81053,                0.53571,                0.87493,                0.86594,                0.83024,                0.89726,                0.72507,                0.69116,                0.49099,                0.84651,              0.0097525,              0.0097525,              0.0097525
                      8,                0.79608,                0.52066,                0.87172,                0.88248,                0.84488,                0.91523,                0.74224,                0.67732,                0.44315,                0.84088,               0.009703,               0.009703,               0.009703
                      9,                0.78628,                0.51198,                0.87024,                0.87114,                0.83747,                0.90772,                0.73386,                0.68839,                0.47003,                0.84277,              0.0096535,              0.0096535,              0.0096535
                     10,                0.77747,                  0.505,                0.86878,                0.89022,                 0.8464,                0.91868,                0.75248,                0.66587,                0.43178,                 0.8378,               0.009604,               0.009604,               0.009604
                     11,                0.77087,                0.49724,                0.86611,                0.89545,                0.84556,                0.92278,                0.75835,                0.65962,                0.42093,                0.83652,              0.0095545,              0.0095545,              0.0095545
                     12,                0.76381,                0.49224,                0.86542,                0.89153,                0.85629,                0.92289,                0.76016,                0.65748,                0.42373,                0.83651,               0.009505,               0.009505,               0.009505
                     13,                0.75827,                0.48633,                0.86391,                0.88806,                0.85248,                0.92364,                0.75925,                0.65328,                0.43242,                0.83436,              0.0094555,              0.0094555,              0.0094555
                     14,                0.75622,                0.48535,                0.86426,                0.89307,                0.86013,                0.92732,                0.76535,                0.64716,                0.40273,                0.83254,               0.009406,               0.009406,               0.009406
                     15,                 0.7504,                0.47798,                0.86183,                0.90027,                0.85136,                0.92539,                0.76424,                 0.6476,                0.40795,                0.83328,              0.0093565,              0.0093565,              0.0093565
                     16,                0.74452,                0.47331,                0.86041,                0.89711,                0.86349,                0.92963,                0.77044,                 0.6451,                0.40396,                0.83382,               0.009307,               0.009307,               0.009307
                     17,                0.74273,                0.47325,                0.86034,                0.90281,                0.86338,                0.93097,                0.77131,                 0.6423,                 0.3962,                0.83255,              0.0092575,              0.0092575,              0.0092575
                     18,                 0.7378,                0.46639,                0.85953,                0.90574,                 0.8604,                0.93097,                0.77313,                0.64009,                0.39935,                0.83124,               0.009208,               0.009208,               0.009208
                     19,                0.73527,                0.46606,                0.85938,                0.90109,                0.86857,                0.93336,                 0.7764,                0.63758,                0.39218,                 0.8307,              0.0091585,              0.0091585,              0.0091585
                     20,                0.73475,                0.46416,                0.85884,                0.89915,                0.87021,                0.93332,                0.77615,                0.63511,                 0.3908,                0.83085,               0.009109,               0.009109,               0.009109
                     21,                0.73085,                0.46123,                 0.8574,                0.90253,                 0.8703,                0.93552,                0.77891,                 0.6351,                0.38703,                0.83055,              0.0090595,              0.0090595,              0.0090595
                     22,                0.72861,                0.45856,                0.85663,                0.90414,                0.86983,                0.93531,                0.77961,                 0.6331,                 0.3862,                0.82983,                0.00901,                0.00901,                0.00901
                     23,                0.72567,                0.45675,                0.85611,                0.89936,                0.87137,                0.93501,                0.77842,                0.63279,                0.38538,                0.82947,              0.0089605,              0.0089605,              0.0089605
                     24,                0.72317,                0.45452,                0.85591,                0.90603,                0.86896,                0.93533,                0.78112,                0.62928,                0.38563,                0.82966,               0.008911,               0.008911,               0.008911
                     25,                0.72148,                0.45186,                0.85592,                0.89955,                0.87347,                  0.935,                0.78179,                0.62906,                0.38739,                0.82981,              0.0088615,              0.0088615,              0.0088615
                     26,                0.72221,                0.45352,                0.85545,                0.89918,                0.87505,                  0.936,                0.78281,                0.62827,                0.38099,                0.82888,               0.008812,               0.008812,               0.008812
                     27,                0.71876,                0.45138,                0.85532,                0.90193,                0.87257,                0.93449,                0.78191,                0.62623,                0.38287,                0.82865,              0.0087625,              0.0087625,              0.0087625
                     28,                0.71998,                0.45058,                0.85576,                0.90882,                0.87277,                0.93643,                0.78335,                0.62684,                0.38082,                0.82812,               0.008713,               0.008713,               0.008713
                     29,                0.71737,                0.44722,                0.85493,                0.90475,                0.87519,                0.93665,                0.78436,                0.62483,                0.37812,                0.82818,              0.0086635,              0.0086635,              0.0086635
                     30,                0.71513,                0.44677,                0.85429,                0.90661,                 0.8745,                0.93769,                0.78561,                0.62483,                0.37591,                0.82814,               0.008614,               0.008614,               0.008614
                     31,                0.71209,                0.44368,                0.85418,                0.91109,                0.87127,                0.93799,                0.78537,                0.62457,                0.37574,                0.82787,              0.0085645,              0.0085645,              0.0085645
                     32,                0.71124,                0.44374,                0.85357,                0.90814,                0.87481,                0.93845,                0.78721,                0.62401,                0.37521,                0.82781,               0.008515,               0.008515,               0.008515
                     33,                0.70965,                 0.4403,                0.85309,                0.90638,                0.87659,                0.93896,                0.78758,                0.62334,                0.37401,                0.82759,              0.0084655,              0.0084655,              0.0084655
                     34,                0.70984,                0.44304,                0.85286,                0.90094,                0.88055,                0.93868,                0.78786,                0.62246,                0.37434,                0.82744,               0.008416,               0.008416,               0.008416
                     35,                0.70711,                 0.4396,                0.85318,                0.90279,                0.87516,                0.93806,                0.78744,                0.62162,                0.37559,                0.82742,              0.0083665,              0.0083665,              0.0083665
                     36,                0.70614,                0.43797,                0.85228,                0.90585,                0.87342,                0.93789,                0.78769,                0.62113,                0.37518,                0.82754,               0.008317,               0.008317,               0.008317
                     37,                0.70658,                0.43905,                0.85312,                0.90243,                0.87544,                0.93784,                0.78798,                 0.6209,                0.37476,                0.82763,              0.0082675,              0.0082675,              0.0082675
                     38,                 0.7056,                0.43918,                0.85225,                0.90746,                0.87247,                0.93816,                0.78832,                0.62035,                0.37404,                0.82753,               0.008218,               0.008218,               0.008218
                     39,                0.70356,                0.43681,                0.85205,                0.90657,                0.87391,                0.93813,                0.78827,                0.61965,                0.37401,                0.82725,              0.0081685,              0.0081685,              0.0081685
                     40,                0.70116,                0.43291,                0.85077,                0.90278,                0.87576,                0.93813,                0.78803,                0.61968,                0.37348,                0.82716,               0.008119,               0.008119,               0.008119
                     41,                0.70196,                0.43504,                0.85169,                0.90135,                0.87802,                0.93804,                0.78855,                0.61964,                0.37272,                 0.8271,              0.0080695,              0.0080695,              0.0080695
                     42,                0.70119,                0.43367,                0.85247,                0.90173,                0.87798,                0.93801,                0.78875,                0.61928,                0.37246,                0.82702,                0.00802,                0.00802,                0.00802
                     43,                0.70024,                0.43321,                0.85095,                0.90462,                0.87495,                0.93811,                0.78857,                0.61878,                0.37197,                0.82686,              0.0079705,              0.0079705,              0.0079705
                     44,                0.69751,                0.43162,                0.85046,                0.89885,                0.88033,                0.93813,                0.78894,                0.61856,                0.37159,                 0.8267,               0.007921,               0.007921,               0.007921
                     45,                0.69844,                0.43111,                0.85115,                0.90037,                0.87842,                0.93809,                0.78916,                0.61844,                0.37104,                0.82671,              0.0078715,              0.0078715,              0.0078715
                     46,                0.69668,                0.43145,                0.85029,                0.89939,                 0.8793,                0.93819,                0.78962,                0.61845,                0.37077,                0.82671,               0.007822,               0.007822,               0.007822
                     47,                0.69457,                0.42867,                0.84957,                0.89966,                0.87798,                0.93806,                 0.7896,                0.61806,                0.37064,                0.82656,              0.0077725,              0.0077725,              0.0077725
                     48,                0.69678,                0.42963,                0.85053,                0.90287,                 0.8751,                0.93817,                0.78985,                0.61773,                0.37036,                0.82646,               0.007723,               0.007723,               0.007723
                     49,                 0.6961,                0.43039,                0.84962,                0.90149,                0.87506,                 0.9382,                0.78984,                0.61764,                0.37022,                0.82643,              0.0076735,              0.0076735,              0.0076735
                     50,                0.69335,                 0.4269,                0.84829,                0.90456,                0.87285,                0.93823,                 0.7901,                0.61769,                0.37017,                0.82644,               0.007624,               0.007624,               0.007624
                     51,                0.69186,                0.42691,                0.84822,                 0.9018,                0.87659,                0.93833,                 0.7903,                 0.6176,                0.37041,                 0.8264,              0.0075745,              0.0075745,              0.0075745
                     52,                0.69084,                0.42579,                0.84888,                0.89982,                0.87844,                0.93827,                0.79037,                0.61748,                 0.3702,                0.82638,               0.007525,               0.007525,               0.007525
                     53,                0.69071,                0.42433,                0.84852,                0.89851,                0.88006,                0.93815,                0.79033,                0.61741,                0.37005,                0.82636,              0.0074755,              0.0074755,              0.0074755
                     54,                0.69023,                0.42337,                0.84792,                0.89345,                0.88506,                 0.9383,                0.79026,                0.61757,                0.36995,                0.82635,               0.007426,               0.007426,               0.007426
                     55,                0.68924,                0.42229,                0.84772,                0.89198,                0.88714,                0.93844,                0.79041,                0.61739,                0.36957,                0.82627,              0.0073765,              0.0073765,              0.0073765
                     56,                0.68635,                0.42216,                0.84815,                0.89163,                0.88732,                 0.9384,                0.79043,                0.61731,                0.36944,                0.82627,               0.007327,               0.007327,               0.007327
                     57,                0.68699,                0.42102,                 0.8474,                0.89493,                 0.8834,                0.93847,                0.79051,                0.61723,                0.36919,                0.82624,              0.0072775,              0.0072775,              0.0072775
                     58,                0.68707,                0.42122,                0.84758,                0.89754,                0.88094,                 0.9385,                0.79055,                0.61721,                0.36905,                0.82619,               0.007228,               0.007228,               0.007228
                     59,                0.68495,                0.41933,                0.84671,                0.89675,                0.88243,                0.93866,                0.79065,                0.61698,                0.36886,                0.82612,              0.0071785,              0.0071785,              0.0071785
                     60,                0.68515,                0.41948,                0.84768,                0.89583,                0.88331,                 0.9387,                0.79073,                0.61686,                0.36891,                0.82606,               0.007129,               0.007129,               0.007129
                     61,                0.68436,                0.41892,                0.84705,                0.89717,                0.88156,                0.93872,                0.79069,                 0.6168,                0.36885,                0.82605,              0.0070795,              0.0070795,              0.0070795
                     62,                0.68595,                0.42058,                0.84721,                0.90055,                0.87874,                0.93874,                0.79078,                0.61662,                0.36863,                0.82601,                0.00703,                0.00703,                0.00703
                     63,                0.68407,                0.41865,                0.84761,                0.90678,                 0.8734,                0.93878,                0.79083,                0.61651,                0.36855,                0.82598,              0.0069805,              0.0069805,              0.0069805
                     64,                0.68356,                0.41752,                0.84658,                0.89867,                0.88144,                0.93879,                0.79064,                0.61642,                0.36845,                0.82594,               0.006931,               0.006931,               0.006931
                     65,                0.68238,                0.41721,                0.84695,                0.89778,                0.88175,                0.93875,                0.79071,                0.61636,                0.36844,                0.82591,              0.0068815,              0.0068815,              0.0068815
                     66,                0.68316,                 0.4185,                0.84691,                 0.8952,                0.88404,                0.93876,                0.79082,                0.61606,                0.36825,                0.82589,               0.006832,               0.006832,               0.006832
                     67,                 0.6808,                0.41534,                0.84559,                0.89665,                0.88338,                0.93877,                0.79092,                0.61591,                 0.3682,                0.82586,              0.0067825,              0.0067825,              0.0067825
                     68,                0.68185,                 0.4168,                  0.846,                0.89768,                0.88276,                0.93871,                0.79084,                0.61592,                 0.3683,                0.82586,               0.006733,               0.006733,               0.006733
                     69,                0.67835,                0.41372,                0.84572,                0.90648,                0.87394,                0.93868,                0.79095,                0.61591,                0.36833,                0.82585,              0.0066835,              0.0066835,              0.0066835
                     70,                0.68003,                0.41481,                0.84527,                0.89943,                0.88085,                0.93862,                0.79097,                0.61588,                0.36809,                0.82584,               0.006634,               0.006634,               0.006634
                     71,                0.67777,                0.41372,                0.84554,                 0.8987,                0.88123,                0.93872,                0.79118,                0.61573,                0.36799,                0.82582,              0.0065845,              0.0065845,              0.0065845
                     72,                0.67832,                0.41418,                0.84542,                0.89771,                  0.882,                0.93883,                0.79106,                0.61572,                0.36793,                 0.8258,               0.006535,               0.006535,               0.006535
                     73,                0.68049,                 0.4154,                 0.8468,                0.89901,                0.88123,                 0.9389,                0.79114,                0.61562,                0.36766,                 0.8258,              0.0064855,              0.0064855,              0.0064855
                     74,                0.67665,                0.41157,                0.84554,                0.89655,                0.88277,                0.93899,                0.79158,                0.61551,                0.36746,                0.82576,               0.006436,               0.006436,               0.006436
                     75,                0.67649,                0.41209,                0.84585,                0.89621,                0.88292,                0.93895,                0.79132,                0.61549,                0.36746,                0.82575,              0.0063865,              0.0063865,              0.0063865
                     76,                0.67419,                0.40916,                0.84465,                0.89778,                0.88213,                  0.939,                0.79107,                 0.6155,                0.36767,                0.82576,               0.006337,               0.006337,               0.006337
